id,streaming_service,type,title,available_countries,listed_in,main_genre,release_year,imdb_rating,imdb_num_votes
e113332,Amazon Prime Video,TV Show,Accused,,"Crime, Drama, Mystery",Crime,2010,7.9,3136
e113335,Amazon Prime Video,TV Show,Ivanhoe,,"Adventure, Drama, Romance",Adventure,1997,7.3,1257
e113344,Amazon Prime Video,TV Show,,,Reality,Reality,2010,,
e113353,Amazon Prime Video,TV Show,The Silence,,"Crime, Drama, Mystery",Crime,2010,7,1407
e113356,Amazon Prime Video,TV Show,Say Yes to the Dress: Atlanta,,Reality-TV,Reality-TV,2010,5.7,536
e113358,Amazon Prime Video,TV Show,,,Comedy,Comedy,1998,,
e113359,Amazon Prime Video,TV Show,,,"Mystery, Comedy, Drama, Crime",Mystery,2005,,
e113360,Amazon Prime Video,TV Show,Alice,,"Adventure, Drama, Fantasy",Adventure,2009,7.2,9958
e113390,Amazon Prime Video,TV Show,,,"Animation, Action & Adventure, Sci-Fi & Fantasy",Animation,2007,,
e113407,Amazon Prime Video,TV Show,,,"Animation, Comedy",Animation,2003,,
e113415,Amazon Prime Video,TV Show,Shameless,,"Comedy, Drama",Comedy,2011,8.5,307136
e113429,Amazon Prime Video,TV Show,Teen Wolf,,"Action, Drama, Fantasy",Action,2011,7.7,170055
e113448,Amazon Prime Video,TV Show,,,"Action & Adventure, Animation, Drama",Action & Adventure,2002,,
e113458,Amazon Prime Video,TV Show,,,"Soap, Drama",Soap,2009,,
e113475,Amazon Prime Video,TV Show,The Jungle Book,,"Adventure, Animation, Family",Adventure,2010,4.7,200
e113482,Amazon Prime Video,TV Show,Great Expectations,,Drama,Drama,1981,6.9,190
e113492,Amazon Prime Video,TV Show,,,"Documentary, Drama",Documentary,,,
e113507,Amazon Prime Video,TV Show,City Hunter,,"Action, Animation, Comedy",Action,1987,7.7,1735
e113508,Amazon Prime Video,TV Show,,,"Documentary, Action & Adventure",Documentary,2010,,
e113509,Amazon Prime Video,TV Show,,,"Drama, Comedy",Drama,1997,,
e113510,Amazon Prime Video,TV Show,Who the (Bleep) Did I Marry,,"Biography, Crime, Documentary",Biography,2010,6.7,671
